022023071010400199Abla                                                                                                001301300000001247000020000099500000995000000000000000000000426000005640000000400000006000007370000000000000000000S
022023071010400299Abrucena                                                                                            001301300000001221000020000103400001034000000000000000000000452000005740000000300000006000007780000000000000000000S
022023071010400399Adra                                                                                                002902900000025300000290001755700017557000000000000000000007357000094170000007200000125000115510000000000000000000S
022023071010400499Albanchez                                                                                           005305300000000735000010000038700000387000000000000000000000177000002270000000100000002000002900000000000000000000S
022023071010400599Alboloduy                                                                                           001301300000000615000010000050400000504000000000000000000000213000002810000000500000000000003920000000000000000000S
022023071010400699Albox                                                                                               005305300000012087000130000709800007098000000000000000000002451000031110000003000000054000045320000000000000000000S
022023071010400799Alcolea                                                                                             001301300000000831000010000069300000693000000000000000000000340000004080000000100000004000005140000000000000000000S
022023071010400899Alcóntar                                                                                            005305300000000538000020000046800000468000000000000000000000215000002600000000300000003000003900000000000000000000S
022023071010400999Alcudia de Monteagud                                                                                001301300000000133000010000011900000119000000000000000000000047000000640000000100000002000000930000000000000000000S
022023071010401099Alhabia                                                                                             001301300000000685000010000058300000583000000000000000000000271000003370000000200000004000004260000000000000000000S
022023071010401199Alhama de Almería                                                                                   001301300000003757000050000279300002793000000000000000000001188000015430000002900000037000020160000000000000000000S
022023071010401299Alicún                                                                                              001301300000000214000010000018900000189000000000000000000000097000001240000000100000000000001560000000000000000000S
022023071010401399Almería                                                                                             001301300000199237002360014488100144881000000000000000000058960000745740000080100000731000954330000000000000000000S
022023071010401499Almócita                                                                                            001301300000000201000010000018100000181000000000000000000000076000001000000000200000003000001440000000000000000000S
022023071010401599Alsodux                                                                                             001301300000000129000010000013600000136000000000000000000000060000000760000000000000002000001030000000000000000000S
022023071010401699Antas                                                                                               010010000000003339000040000219100002191000000000000000000000940000012070000001200000016000015810000000000000000000S
022023071010401799Arboleas                                                                                            005305300000004532000030000124100001241000000000000000000000510000006500000000500000007000008710000000000000000000S
022023071010401899Armuña de Almanzora                                                                                 005305300000000313000010000028400000284000000000000000000000132000001660000000300000004000002210000000000000000000S
022023071010401999Bacares                                                                                             005305300000000240000010000022700000228000000000000000000000102000001370000000200000000000001740000000000000000000S
022023071010402099Bayárcal                                                                                            001301300000000312000010000026100000261000000000000000000000125000001560000000000000002000001930000000000000000000S
