022023071010400101001 A00004290000429000000000000000000187000024900000010000002000032800000000000000S
022023071010400101001 B00005660000566000000000000000000239000031500000030000004000040900000000000000S
022023071010400201001 A00004450000445000000000000000000193000024900000010000003000034000000000000000S
022023071010400201001 B00005890000589000000000000000000259000032500000020000003000043800000000000000S
022023071010400301001 U00006270000627000000000000000000299000038800000030000006000046900000000000000S
022023071010400301002 A00006070000607000000000000000000279000037800000060000006000045000000000000000S
022023071010400301002 B00006910000691000000000000000000285000037300000010000001000049900000000000000S
022023071010400301003 A00007700000770000000000000000000334000043200000020000006000051500000000000000S
022023071010400301003 B00008520000852000000000000000000380000048400000030000007000057700000000000000S
022023071010400301004 A00006430000643000000000000000000251000032700000070000005000040000000000000000S
022023071010400301004 B00005020000502000000000000000000219000028300000020000002000033600000000000000S
022023071010400301004 C00005830000583000000000000000000221000029800000010000002000036500000000000000S
022023071010400301005 A00007750000775000000000000000000323000041700000050000005000053100000000000000S
022023071010400301005 B00007120000712000000000000000000301000040800000030000009000049400000000000000S
022023071010400301006 A00004970000497000000000000000000238000029700000070000001000036000000000000000S
022023071010400301006 B00005880000588000000000000000000278000034800000000000007000044300000000000000S
022023071010400301007 U00007370000737000000000000000000344000042500000060000007000055500000000000000S
022023071010400302001 A00004470000447000000000000000000198000023100000010000000000028900000000000000S
022023071010400302001 B00004290000429000000000000000000177000022500000000000003000028500000000000000S
022023071010400302002 A00005010000501000000000000000000191000021900000010000000000027500000000000000S
022023071010400302002 B00005250000525000000000000000000217000026300000020000004000032100000000000000S
022023071010400302003 U00006660000666000000000000000000213000027300000000000006000032900000000000000S
022023071010400303001 U00008100000810000000000000000000304000038400000020000005000047600000000000000S
022023071010400303002 U00008600000860000000000000000000218000031000000020000002000039300000000000000S
022023071010400303003 A00004250000425000000000000000000167000022500000020000006000026200000000000000S
022023071010400303003 B00006020000602000000000000000000264000034100000010000005000039500000000000000S
022023071010400303003 C00006290000629000000000000000000296000036600000030000004000041500000000000000S
022023071010400304001 A00004030000403000000000000000000189000022300000010000007000028900000000000000S
022023071010400304001 B00002020000202000000000000000000075000008700000000000003000011300000000000000S
022023071010400305001 A00006060000606000000000000000000252000031900000010000003000038900000000000000S
022023071010400305001 B00004440000444000000000000000000207000024100000000000006000028700000000000000S
022023071010400305002 A00006720000672000000000000000000297000038500000060000002000048300000000000000S
022023071010400305002 B00007520000752000000000000000000340000046700000040000005000055600000000000000S
022023071010400401001 U00003870000387000000000000000000177000022700000010000002000029000000000000000S
022023071010400501001 U00005040000504000000000000000000213000028100000050000000000039200000000000000S
022023071010400601001 A00005660000566000000000000000000173000021900000030000003000033400000000000000S
022023071010400601001 B00004220000422000000000000000000133000016900000030000002000024100000000000000S
022023071010400601002 A00006190000619000000000000000000214000026600000020000003000041200000000000000S
022023071010400601002 B00006810000681000000000000000000251000030600000020000003000045700000000000000S
022023071010400602001 A00005640000564000000000000000000193000023700000020000005000033700000000000000S
022023071010400602001 B00005660000566000000000000000000202000025000000020000005000037200000000000000S
022023071010400602001 C00005590000559000000000000000000206000025600000010000007000037700000000000000S
022023071010400602001 D00005100000510000000000000000000162000020700000010000000000030200000000000000S
022023071010400602002 U00008460000846000000000000000000276000036700000020000006000050500000000000000S
022023071010400603001 U00005970000597000000000000000000240000030700000030000007000043100000000000000S
022023071010400604001 A00002670000267000000000000000000104000013600000010000001000018700000000000000S
022023071010400604001 B00004610000461000000000000000000155000020900000030000006000030200000000000000S
022023071010400604001 C00004400000440000000000000000000142000018200000050000006000027500000000000000S
022023071010400701001 U00006930000693000000000000000000340000040800000010000004000051400000000000000S
022023071010400801001 A00001840000184000000000000000000088000010600000020000002000015000000000000000S
022023071010400801001 B00002840000284000000000000000000127000015400000010000001000024000000000000000S
022023071010400901001 U00001190000119000000000000000000047000006400000010000002000009300000000000000S
022023071010401001001 U00005830000583000000000000000000271000033700000020000004000042600000000000000S
022023071010401101001 A00006700000670000000000000000000289000037900000070000012000048200000000000000S
022023071010401101001 B00006670000667000000000000000000299000037700000090000006000050100000000000000S
022023071010401101001 C00005130000513000000000000000000194000027700000040000007000037200000000000000S
022023071010401101002 A00004450000445000000000000000000191000023900000050000007000030800000000000000S
022023071010401101002 B00004980000498000000000000000000215000027100000040000005000035300000000000000S
022023071010401201001 U00001890000189000000000000000000097000012400000010000000000015600000000000000S
022023071010401301001 A00007240000724000000000000000000276000033800000020000003000042700000000000000S
022023071010401301001 B00006540000654000000000000000000255000029800000040000007000039400000000000000S
022023071010401301003 A00005130000513000000000000000000185000023400000030000005000033200000000000000S
022023071010401301003 B00004860000486000000000000000000169000020900000050000004000027500000000000000S
022023071010401302001 A00005150000515000000000000000000226000027700000040000001000034100000000000000S
022023071010401302001 B00005440000544000000000000000000231000029900000030000000000038300000000000000S
022023071010401302002 A00005690000569000000000000000000288000035300000010000002000044800000000000000S
022023071010401302002 B00005220000522000000000000000000256000032000000040000001000038700000000000000S
022023071010401302004 A00005140000514000000000000000000242000032000000030000003000041200000000000000S
022023071010401302004 B00004750000475000000000000000000248000030100000020000003000037600000000000000S
022023071010401302005 A00004820000482000000000000000000261000031500000030000001000038700000000000000S
022023071010401302005 B00004220000422000000000000000000216000026100000060000002000032800000000000000S
022023071010401302006 A00004500000450000000000000000000251000030500000030000001000037900000000000000S
022023071010401302006 B00005320000532000000000000000000296000034000000030000003000044200000000000000S
022023071010401303001 A00006240000624000000000000000000298000035600000010000002000045600000000000000S
022023071010401303001 B00005540000554000000000000000000254000032800000020000000000041800000000000000S
022023071010401303002 U00007590000759000000000000000000235000028900000020000000000034600000000000000S
022023071010401303003 U00008890000889000000000000000000178000022900000000000003000029000000000000000S
022023071010401303006 U00005330000533000000000000000000155000018000000010000001000022200000000000000S
022023071010401303007 U00007170000717000000000000000000216000027500000030000005000032400000000000000S
022023071010401303008 U00006520000652000000000000000000219000025800000020000002000029900000000000000S
022023071010401303009 U00008490000849000000000000000000241000031900000030000002000040200000000000000S
022023071010401303010 U00009520000952000000000000000000156000020600000020000002000025500000000000000S
022023071010401303011 U00009710000971000000000000000000337000042300000000000006000053000000000000000S
022023071010401304001 U00007410000741000000000000000000388000047900000030000004000060500000000000000S
022023071010401304002 A00005210000521000000000000000000249000031400000020000003000040900000000000000S
022023071010401304002 B00005180000518000000000000000000257000031000000010000001000040200000000000000S
022023071010401304003 A00005840000584000000000000000000286000035000000010000002000043100000000000000S
022023071010401304003 B00005190000519000000000000000000224000027200000020000001000036100000000000000S
022023071010401304004 U00006750000675000000000000000000287000036600000050000003000045600000000000000S
022023071010401304005 U00005240000524000000000000000000262000031200000010000004000037100000000000000S
022023071010401304006 U00006630000663000000000000000000317000038600000030000006000048600000000000000S
022023071010401304007 U00006390000639000000000000000000323000040400000040000003000049800000000000000S
022023071010401305002 A00006160000616000000000000000000258000030300000000000004000039300000000000000S
022023071010401305002 B00008330000833000000000000000000356000042100000030000003000053600000000000000S
022023071010401305003 A00006690000669000000000000000000252000029100000030000002000037000000000000000S
022023071010401305003 B00006270000627000000000000000000231000028700000030000002000036900000000000000S
022023071010401305004 U00010230001023000000000000000000342000043400000030000005000054400000000000000S
022023071010401305005 U00010200001020000000000000000000285000034800000050000006000043200000000000000S
022023071010401305006 U00008240000824000000000000000000339000040400000000000010000054100000000000000S
022023071010401305007 U00008400000840000000000000000000395000048000000050000004000058100000000000000S
022023071010401305008 U00008030000803000000000000000000322000041200000070000005000052300000000000000S
022023071010401305009 U00006860000686000000000000000000314000038500000030000004000046500000000000000S
022023071010401305010 U00007030000703000000000000000000301000038500000010000006000049700000000000000S
022023071010401305011 U00011650001165000000000000000000403000040300000050000001000046900000000000000S
022023071010401306001 U00006260000626000000000000000000193000024100000040000003000029400000000000000S
022023071010401306002 U00007750000775000000000000000000290000035000000040000002000043700000000000000S
022023071010401306003 U00006350000635000000000000000000234000028500000010000001000035700000000000000S
022023071010401306004 A00006120000612000000000000000000246000032200000030000004000043200000000000000S
022023071010401306004 B00006210000621000000000000000000258000033800000070000006000044500000000000000S
022023071010401306005 A00006480000648000000000000000000262000033300000030000003000041400000000000000S
022023071010401306005 B00006330000633000000000000000000266000033000000070000006000041500000000000000S
022023071010401306006 A00006490000649000000000000000000234000029100000040000007000034900000000000000S
022023071010401306006 B00006120000612000000000000000000225000028800000050000004000035800000000000000S
022023071010401306007 A00006740000674000000000000000000287000036400000050000005000042200000000000000S
022023071010401306007 B00008220000822000000000000000000357000042500000060000004000049200000000000000S
022023071010401306008 A00006980000698000000000000000000284000034800000020000003000045600000000000000S
022023071010401306008 B00006060000606000000000000000000222000027600000020000000000037900000000000000S
022023071010401306008 C00005740000574000000000000000000229000027700000030000003000034800000000000000S
022023071010401306009 U00008380000838000000000000000000334000041200000020000002000053800000000000000S
022023071010401306010 U00006680000668000000000000000000259000031500000040000003000041500000000000000S
022023071010401306011 A00004150000415000000000000000000153000021000000010000002000028000000000000000S
022023071010401306011 B00004650000465000000000000000000196000024600000020000003000032400000000000000S
022023071010401306012 A00005020000502000000000000000000238000029400000040000003000036500000000000000S
022023071010401306012 B00004700000470000000000000000000225000027400000070000002000031100000000000000S
022023071010401306013 A00006640000664000000000000000000274000035700000010000002000043400000000000000S
022023071010401306013 B00006200000620000000000000000000268000034600000000000005000042700000000000000S
022023071010401306014 U00008250000825000000000000000000226000032800000020000003000042800000000000000S
022023071010401306015 U00005750000575000000000000000000244000029900000010000004000035300000000000000S
022023071010401306016 A00007000000700000000000000000000234000032100000050000001000043000000000000000S
022023071010401306016 B00007320000732000000000000000000280000038700000060000002000046700000000000000S
022023071010401306017 A00005430000543000000000000000000205000032000000020000004000032600000000000000S
022023071010401306017 B00006090000609000000000000000000221000028400000010000007000035300000000000000S
022023071010401306018 A00007880000788000000000000000000292000036800000070000004000046000000000000000S
022023071010401306018 B00007030000703000000000000000000264000032000000050000007000039600000000000000S
022023071010401306019 A00005500000550000000000000000000195000025200000000000000000032400000000000000S
022023071010401306019 B00005610000561000000000000000000202000025700000030000001000033600000000000000S
022023071010401306020 U00010340001034000000000000000000313000042700000050000000000054200000000000000S
022023071010401306021 U00012570001257000000000000000000255000039400000060000003000049300000000000000S
022023071010401306022 A00006290000629000000000000000000268000034200000080000007000046200000000000000S
022023071010401306022 B00004160000416000000000000000000181000023300000020000001000031700000000000000S
022023071010401306022 C00005240000524000000000000000000237000031400000030000006000039900000000000000S
022023071010401306024 U00008550000855000000000000000000161000021800000040000002000027000000000000000S
022023071010401306025 U00008490000849000000000000000000343000043900000030000002000053900000000000000S
022023071010401306026 A00006120000612000000000000000000267000031900000020000004000039800000000000000S
022023071010401306026 B00006160000616000000000000000000278000032900000050000004000039900000000000000S
022023071010401306027 U00005890000589000000000000000000230000028000000030000003000034300000000000000S
022023071010401306028 U00006940000694000000000000000000296000036600000030000002000045500000000000000S
022023071010401306029 A00006480000648000000000000000000267000036000000030000002000045000000000000000S
022023071010401306029 B00006250000625000000000000000000256000033700000040000001000043100000000000000S
022023071010401306030 A00006320000632000000000000000000239000034300000020000005000044300000000000000S
022023071010401306030 B00007150000715000000000000000000245000036900000030000006000047600000000000000S
022023071010401306031 U00008060000806000000000000000000091000011600000010000001000017500000000000000S
022023071010401306032 A00004730000473000000000000000000183000023400000040000004000029000000000000000S
022023071010401306032 B00004780000478000000000000000000195000024400000030000000000030300000000000000S
022023071010401306033 A00004660000466000000000000000000177000023500000060000002000029300000000000000S
022023071010401306033 B00004770000477000000000000000000020000026300000030000001000033700000000000000S
022023071010401306034 A00006020000602000000000000000000271000037300000070000003000046900000000000000S
022023071010401306034 B00005640000564000000000000000000246000033100000040000000000045300000000000000S
022023071010401306035 A00006810000681000000000000000000205000024400000030000002000030600000000000000S
022023071010401306035 B00008410000841000000000000000000263000032300000070000000000042500000000000000S
022023071010401306036 A00004610000461000000000000000000200000025100000030000001000034200000000000000S
022023071010401306036 B00005060000506000000000000000000210000028600000120000000000038900000000000000S
022023071010401306037 U00007070000707000000000000000000284000036400000020000007000044400000000000000S
022023071010401306038 A00006160000616000000000000000000282000034600000000000001000045800000000000000S
022023071010401306038 B00006900000690000000000000000000273000035100000040000010000048700000000000000S
022023071010401306039 A00005020000502000000000000000000222000029500000050000003000038800000000000000S
022023071010401306039 B00006870000687000000000000000000307000041000000020000005000054400000000000000S
022023071010401306039 C00006760000676000000000000000000297000038200000060000013000049900000000000000S
022023071010401306040 A00004970000497000000000000000000164000022500000040000003000033400000000000000S
022023071010401306040 B00006740000674000000000000000000224000030500000050000002000044300000000000000S
022023071010401306040 C00006470000647000000000000000000226000030600000060000004000043200000000000000S
022023071010401306041 A00005360000536000000000000000000226000029800000060000002000039300000000000000S
022023071010401306041 B00005060000506000000000000000000203000026300000050000001000037500000000000000S
022023071010401306042 A00005890000589000000000000000000250000031500000040000009000040100000000000000S
022023071010401306042 B00005850000585000000000000000000228000028700000020000002000038700000000000000S
022023071010401306043 U00006580000658000000000000000000170000024600000040000006000033600000000000000S
022023071010401307001 A00005680000568000000000000000000279000034600000000000000000043900000000000000S
022023071010401307001 B00005960000596000000000000000000260000032800000050000004000042900000000000000S
022023071010401307002 U00007020000702000000000000000000306000036800000050000003000047200000000000000S
022023071010401307003 A00004740000474000000000000000000216000025000000010000003000034700000000000000S
022023071010401307003 B00004630000463000000000000000000213000025900000000000002000034800000000000000S
022023071010401307004 U00007430000743000000000000000000351000042100000060000004000056100000000000000S
022023071010401307005 U00006660000666000000000000000000313000037400000050000002000049500000000000000S
022023071010401307006 A00004540000454000000000000000000244000029000000010000002000038100000000000000S
022023071010401307006 B00004030000403000000000000000000194000024200000030000001000032200000000000000S
022023071010401307007 A00006230000623000000000000000000281000036100000020000002000046900000000000000S
022023071010401307007 B00005460000546000000000000000000266000031500000010000003000040700000000000000S
022023071010401307008 A00004900000490000000000000000000218000027400000010000003000034500000000000000S
022023071010401307008 B00004900000490000000000000000000208000025500000000000005000033500000000000000S
022023071010401307010 A00006390000639000000000000000000296000035500000050000005000044400000000000000S
022023071010401307010 B00006060000606000000000000000000302000032100000000000002000040600000000000000S
022023071010401307011 A00005200000520000000000000000000228000027500000020000002000035400000000000000S
022023071010401307011 B00005130000513000000000000000000227000027000000040000003000034700000000000000S
022023071010401307012 A00005000000500000000000000000000210000027700000040000002000039100000000000000S
022023071010401307012 B00006430000643000000000000000000342000040800000040000002000050400000000000000S
022023071010401307012 C00005700000570000000000000000000262000034300000020000002000045000000000000000S
022023071010401307013 A00005470000547000000000000000000260000029200000000000005000037100000000000000S
022023071010401307013 B00004910000491000000000000000000222000026200000030000002000033000000000000000S
022023071010401307014 A00007800000780000000000000000000332000042000000040000000000054200000000000000S
022023071010401307014 B00006700000670000000000000000000298000036300000030000002000049100000000000000S
022023071010401307015 A00007360000736000000000000000000258000031200000000000004000043300000000000000S
022023071010401307015 B00006840000684000000000000000000259000031800000040000000000042100000000000000S
022023071010401307016 A00006510000651000000000000000000281000032600000020000004000041900000000000000S
022023071010401307016 B00007450000745000000000000000000324000037800000060000003000049200000000000000S
022023071010401307017 A00005240000524000000000000000000226000028900000040000005000034600000000000000S
022023071010401307017 B00006380000638000000000000000000279000034200000010000001000040400000000000000S
022023071010401307018 A00005480000548000000000000000000204000026100000010000004000034800000000000000S
022023071010401307018 B00007270000727000000000000000000310000040000000060000009000051000000000000000S
022023071010401307018 C00006560000656000000000000000000323000040800000060000005000044700000000000000S
022023071010401307019 A00005500000550000000000000000000233000029300000030000003000034600000000000000S
022023071010401307019 B00004720000472000000000000000000165000019600000000000000000028900000000000000S
022023071010401307020 A00004050000406000000000000000000180000025100000090000001000033200000000000000S
022023071010401307020 B00005860000586000000000000000000260000034100000050000001000047000000000000000S
022023071010401307020 C00005160000515000000000000000000254000031500000050000001000042500000000000000S
022023071010401307021 A00005620000562000000000000000000279000033900000080000005000038700000000000000S
022023071010401307021 B00007550000755000000000000000000322000040700000010000004000050600000000000000S
022023071010401307021 C00006300000630000000000000000000274000035100000070000006000042400000000000000S
022023071010401307022 A00005890000589000000000000000000272000032600000050000004000040100000000000000S
022023071010401307022 B00007020000702000000000000000000319000041900000080000004000047300000000000000S
022023071010401307022 C00005650000565000000000000000000239000029900000040000002000037600000000000000S
022023071010401307023 A00008480000848000000000000000000379000050800000060000001000057800000000000000S
022023071010401307023 B00007550000755000000000000000000164000022600000080000003000051100000000000000S
