"name","essround","edition","proddate","cntry","idno","intagea","intgndr","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","resswcd","vdovexin","vdtpsvin","vdtpitin","vdtpscin","vdtpauin","vdtpviin","vdtpoiin","vdtpntin","vdtpapre","vdtprein","vdtpdkin","vdtpnain","intlnga","intnum"
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10422,66,2,1,1,4,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3684
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10439,74,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2604
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10442,74,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",2604
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10445,60,2,1,5,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,1,0,0,0,0,"FRE",3524
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10460,71,1,2,2,5,5,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"DUT",3149
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10465,51,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3551
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10466,33,1,3,2,2,4,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",2244
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10470,41,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2582
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10478,66,2,3,3,4,4,2,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,"DUT",3684
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10484,67,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",2778
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10494,54,2,1,1,5,5,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"DUT",2654
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10516,54,2,2,2,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3697
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10526,54,2,3,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3697
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10557,63,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3136
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10558,69,1,3,1,4,3,2,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,1,0,0,0,"DUT",3354
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10567,73,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",4082
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10598,77,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",3081
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10603,31,2,2,1,4,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",2555
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10611,68,2,2,1,5,5,1,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3816
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10621,72,1,2,1,5,2,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",2263
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10629,74,1,4,2,4,3,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,"FRE",2604
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10644,56,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,1,0,0,0,0,"DUT",2298
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10648,80,2,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3764
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10649,77,1,1,1,1,4,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",3081
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10680,61,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,"DUT",4029
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10684,60,2,3,3,5,5,2,0,0,0,0,0,0,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,"DUT",3524
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10691,54,2,2,1,1,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",2363
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10706,71,1,3,2,5,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",3149
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10735,77,1,1,1,1,1,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",3081
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10766,74,1,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2604
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10793,41,2,2,1,5,5,1,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",3617
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10795,41,2,2,1,5,5,1,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",2582
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10802,54,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3697
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10827,59,1,1,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"DUT",2292
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10831,45,2,3,1,5,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",2120
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10838,58,2,5,1,5,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"FRE",3515
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10853,54,2,2,1,5,5,2,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,"FRE",3697
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10858,72,1,2,1,5,4,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,"DUT",2263
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10875,21,2,2,1,5,5,1,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"FRE",2829
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10892,54,2,2,1,1,5,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,"DUT",2363
"ESS10INTe03_1",10,"3.1","02.11.2023","BE",10946,63,1,3,2,5,4,2,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,"FRE",2387
