"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"33","Botswana","BWA","Africa","Sub-Saharan Africa",61.23119,31.17233,2401.84,14.77706,16.89481,5.72839,3.79,22.21816,11.5,86.8231811523438,"Gaborone",8.11846351623535,23.381,18846.2504612042
"34","Central African Republic","CAF","Africa","Sub-Saharan Africa",52.30773,73.52477,4996.741,32.17288,34.7064,9.95509,0.74,10,3,37.4900016784668,"Bangui",4.56999969482422,5.877,1135.13627681714
"35","Canada","CAN","Americas","North America",81.58276,4.34223,36545.236,5.19552,2.39944,11.23433,28.19,25.56144,86.76586,NA,NA,13.7220153808594,5.415,56686.9159498906
"36","Switzerland","CHE","Europe","Europe & Central Asia",83.32796,3.54122,8451.84,7.7901,0.49275,11.70653,44.77,44.40248,85.2,NA,NA,13.2655611038208,4.043,81683.8662644452
"37","Chile","CHL","Americas","Latin America & Caribbean",79.02405,5.42874,18368.577,20.48648,1.02497,10.06173,33.34,19.71715,61.41816,97.1600036621094,"Santiago",13.0017833709717,9.013,29490.7584920368
"38","China","CHN","Asia","East Asia & Pacific",77.6162,4.78114,1396215,31.12746,0.69985,5.36949,31.12,50.04597,42.30012,97,"Beijing",13.1377935409546,4.67,22137.5998277466
"39","Côte d’Ivoire","CIV","Africa","Sub-Saharan Africa",63.51741,52.40967,24848.016,54.064,11.48894,3.64241,1.66,4,2.37896,50.0006408691406,"Yamoussoukro",8.05733776092529,2.27,6485.31584901747
"40","Cameroon","CMR","Africa","Sub-Saharan Africa",61.76935,46.9746,24393.181,56.36692,6.43916,4.47836,1.36,26.49,5.69899,78.2300033569336,"Yaounde",8.72147846221924,3.613,4870.57076514365
"41","Congo - Kinshasa","COD","Africa","Sub-Saharan Africa",61.62553,60.14252,84283.273,29.12979,12.81288,3.78615,2.08,8,1.67996,80.5400009155273,"Kinshasa",9.13184547424316,4.484,1455.8356229714
"42","Congo - Brazzaville","COG","Africa","Sub-Saharan Africa",63.17262,31.18531,5312.34,23.22098,15.95209,2.19225,1.73,16,6.1067,80.6100006103516,"Brazzaville",8.91276931762695,19.898,6172.28776650683
"43","Cook Islands","COK","Oceania","East Asia & Pacific",NA,5.93436,NA,7.86765,NA,5.74317,16.67,81.75268,NA,NA,NA,NA,NA,NA
"44","Colombia","COL","Americas","Latin America & Caribbean",74.53297,10.64665,48351.671,15.96535,6.86019,7.57361,25.35,16.891,48.98432,96,"Bogota",12.8603744506836,9.594,18324.9053005691
"45","Comoros","COM","Africa","Sub-Saharan Africa",67.49704,38.21378,761.664,14.0178,10.99022,8.38039,4.24,21.6,5.9753,61.7099990844727,"Moroni",8.17353343963623,3.776,3498.80327064529
"46","Cape Verde","CPV","Africa","Sub-Saharan Africa",73.16098,10.57288,564.954,31.08072,13.35798,6.6744,7.3,19.66031,34.74342,91,"Praia",NA,11.971,9288.4021703944
"47","Costa Rica","CRI","Americas","Latin America & Caribbean",78.63053,6.89187,4993.842,15.4615,12.58593,7.18368,26.87,11.75796,47.50092,98.0400009155273,"San Jose",13.1157264709473,8.325,25989.9098073719
"48","Cuba","CUB","Americas","Latin America & Caribbean",73.67333,6.22384,11336.405,10.85557,2.28878,11.78683,95.42,42.21253,25.6417,99.6731109619141,"Havana",NA,1.719,NA
"49","Curaçao","CUW","Americas","Latin America & Caribbean",NA,NA,160.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28886.6874923723
"50","Cayman Islands","CYM","Americas","Latin America & Caribbean",NA,NA,63.581,NA,NA,NA,NA,NA,NA,99,"George Town",NA,NA,78109.3506593441
"51","Cyprus","CYP","Asia","Europe & Central Asia",81.91274,2.73024,1208.523,15.46381,1.27559,8.87061,35.56,22.35448,61,99.3600006103516,"Nicosia",13.5876054763794,6.098,52148.04296875
"52","Czechia","CZE","Europe","Europe & Central Asia",77.0773,2.11942,10594.438,14.8192,0.61984,8.79905,43.52,65.98643,75,NA,NA,13.5641040802002,2.579,47452.3485573819
"53","Germany","DEU","Europe","Europe & Central Asia",80.49141,3.03273,82657.002,11.15322,0.85955,12.60513,45.34,78.02411,84,NA,NA,13.3306179046631,3.068,63097.7108010283
