"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"133","Mali","MLI","Africa","Sub-Saharan Africa",61.31661022,62.075638115,24478.595,38.54882,10.22256498,3.54318666,1.13,2.273947286,2.1689,35.4700012207031,"Bamako",5.24293899536133,2.924,2916.18529537154
"134","Malta","MLT","Europe","Middle East & North Africa",82.05744637,5.796850662,568.847,12.60381,0.833970747,7.89857197,47.19,40.856200563,70,93.3099975585938,"Valletta",13.427845954895,3.1,59659.5237078097
"135","Myanmar (Burma)","MMR","Asia","East Asia & Pacific",67.84580637,109.749597547,54500.091,29.2509,4.625230182,4.14940882,5.04,10.707380406,1.0691,93.5471293315427,"Naypyidaw",9.9909725189209,2.887,5276.29433987853
"136","Montenegro","MNE","Europe","Europe & Central Asia",77.06052079,3.494025919,623.525,19.29617,2.600020605,8.63302994,27.85,39.541994898,NA,98.5299987792969,"Podgorica",12.765830039978,13.206,26742.5578934939
"137","Mongolia","MNG","Asia","East Asia & Pacific",70.09795294,14.975716951,3524.788,47.78887,5.683608246,3.85800076,43.64,87.50401652,16.4,98.6399993896484,"Ulaanbaatar",13.1627712249756,5.158,16842.6505873797
"138","Northern Mariana Islands","MNP","Oceania","East Asia & Pacific",NA,NA,44.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Mozambique","MOZ","Africa","Sub-Saharan Africa",57.33253714,75.718757557,34631.766,16.44818,3.264526641,8.50126553,0.91,7.244922172,4.8491,61.6778205151772,"Maputo",7.58972454071045,6.668,1500.31427446351
"140","Mauritania","MRT","Africa","Sub-Saharan Africa",69.9973737,43.385405742,5169.395,41.98461,10.63822897,3.78022528,2.03,4,5.3691,59.5299987792969,"Nouakchott",7.73077392578125,10.257,6482.69016724334
"141","Montserrat","MSR","Americas","Latin America & Caribbean",NA,8.828456618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Martinique","MTQ","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Mauritius","MUS","Africa","Sub-Saharan Africa",73.41967032,13.926111421,1245.779,10.73204,2.204408685,5.84209728,24.91,37.518716377,41.3946,94.3265215627,"Port Louis",12.4344024658203,5.548,28011.1579806299
"144","Malawi","MWI","Africa","Sub-Saharan Africa",58.10856356,33.604956297,21655.286,18.47615,2.655038968,6.53459597,0.54,11,4.3506,70.1500015258789,"Lilongwe",9.57214260101318,5.051,1634.24660266597
"145","Malaysia","MYS","Asia","East Asia & Pacific",74.68410362,6.742396207,35557.673,20.49619,2.757419955,4.08254337,23.41,19.028309807,65.8,95.7699966430664,"Kuala Lumpur",12.4660329818726,3.846,34116.2317848885
"146","Namibia","NAM","Africa","Sub-Saharan Africa",60.35994599,47.589850956,3030.131,11.81074,17.93660947,9.6219883,5.58,NA,12.9414,87.6399993896484,"Windhoek",11.7409467697144,19.157,10281.3356402988
"147","Namibia","NAM","Africa","Sub-Saharan Africa",60.35994599,47.589850956,3030.131,11.81074,17.93660947,9.6219883,5.58,NA,12.9414,87.6399993896484,"Windhoek",9.38443183898926,19.157,10281.3356402988
"148","New Caledonia","NCL","Oceania","East Asia & Pacific",NA,NA,292.639,NA,NA,NA,NA,NA,NA,96.1399993896484,"Noum'ea",NA,10.991,NA
"149","Niger","NER","Africa","Sub-Saharan Africa",59.97070525,67.361473972,27032.412,50.74433,9.674695765,4.04895782,0.39,2.876261383,1.4077,35.6100006103516,"Niamey",5.4982500076294,0.376,1803.4369300532
"150","Nigeria","NGA","Africa","Sub-Saharan Africa",61.04119261,66.110975576,232679.478,55.64206,8.767078943,4.07625723,3.8,NA,32.8763,70.4100036621094,"Abuja",10.1899995803833,3.045,7994.21563861459
"151","Nicaragua","NIC","Americas","Latin America & Caribbean",77.92580193,11.612951059,6916.14,19.55939,10.7022524,8.29879284,9.08,9.195649604,13.5,87.3450882346125,"Managua",10.758749961853,4.98,7661.60202722818
"152","Niue","NIU","Oceania","East Asia & Pacific",NA,28.573097302,NA,6.64027,NA,15.08219433,13.04,48.886474742,82.22453,NA,NA,NA,NA,NA
"153","Netherlands","NLD","Europe","Europe & Central Asia",81.45622695,3.558725827,17993.485,10.7416,0.576185619,11.13498974,38.68,31.496528528,93,NA,NA,13.8787689208984,3.7,70498.8840396071
"154","Norway","NOR","Europe","Europe & Central Asia",81.43412297,1.934893134,5572.279,6.33232,0.564338544,9.8142643,45.78,33.484844681,95,NA,NA,13.6708278656006,4,91105.246799623
"155","Nepal","NPL","Asia","South Asia",70.84484004,48.815711336,29651.054,40.05945,2.504309186,6.52950287,10.11,5.313736784,11.1493,68.7099990844727,"Kathmandu",12.2549734115601,10.5,5046.81592972946
"156","Nauru","NRU","Oceania","East Asia & Pacific",NA,NA,11.947,7.44854,NA,11.4886446,13.86,NA,NA,96.5899963378906,"Yaren District",NA,NA,12468.7614524615
"157","New Zealand","NZL","Oceania","East Asia & Pacific",81.36359879,5.004711882,5287.5,8.60929,1.23837085,9.25240231,35.31,25.657988965,89.5109,NA,NA,13.696813583374,4.724,49316.3999433708
"158","Oman","OMN","Asia","Middle East & North Africa",72.47676726,10.393736406,5281.538,34.88286,0.721105134,3.06614041,20.03,11.478905678,60,97.3399963378906,"Muscat",12.7578458786011,3.203,36721.0804634186
"159","Pakistan","PAK","Asia","South Asia",65.99092295,66.019953331,251269.164,56.50438,6.583558054,2.95273018,12.84,4.314439047,9.9637,58.8600006103516,"Islamabad",9.37386798858643,5.492,5500.32394824285
"160","Panama","PAN","Americas","Latin America & Caribbean",77.34684989,16.051906688,4515.577,11.77915,17.50980696,7.60132933,15.89,20.673626651,45.1999,96.256135181795,"Panama City",10.7480020523071,8.451,36394.9175291147
"161","Peru","PER","Americas","Latin America & Caribbean",78.99013811,14.30643493,34217.848,27.75851,5.935784146,4.42611313,16.49,15.957508115,38.2,93.6600036621094,"Lima",12.9995756149292,5.199,15661.7497711956
"162","Philippines","PHL","Asia","East Asia & Pacific",69.67627942,22.379639463,115843.67,22.45141,12.66447172,5.10122538,6.95,9.775128191,36.2351,98.4700012207031,"Manila",12.9483213424683,2.202,10375.9404179938
"163","Palau","PLW","Oceania","East Asia & Pacific",NA,17.072066043,17.695,7.82424,NA,8.41378212,18.08,43.431053203,NA,100,"Koror",11.7282238006592,NA,16425.9722714446
"164","Papua New Guinea","PNG","Oceania","East Asia & Pacific",66.67377821,45.94459137,10576.502,8.8705,10.40988113,2.61463141,0.46,1.722341127,2.30196,87.144148905762,"Port Moresby",10.3196477890015,2.625,4288.52828988176
"165","Poland","POL","Europe","Europe & Central Asia",76.23355347,43.5167841,36559.233,22.51081,0.681344027,6.25094128,23.11,64.914238411,65,98.7399978637695,"Warsaw",13.4107799530029,2.807,45153.0439773281
"166","Puerto Rico","PRI","Americas","Latin America & Caribbean",79.90294803,NA,3203.295,NA,24.60181944,NA,NA,NA,NA,92.3899993896484,NA,NA,5.639,44205.7494879255
"167","North Korea","PRK","Asia","East Asia & Pacific",71.92237066,14.81892,26498.823,41.46032,4.091211531,NA,36.28,143,NA,100,"Pyongyang",NA,3.539,NA
"168","Portugal","PRT","Europe","Europe & Central Asia",80.81837464,2.95841867,10694.681,8.41931,1.656233913,11.22031498,60.22,34.759277436,64,94.4800033569336,"Lisbon",13.9008378982544,6.5,42197.2025135828
"169","Paraguay","PRY","Americas","Latin America & Caribbean",75.24817035,23.945172983,6929.153,12.30993,7.576761309,6.74497652,38.93,10.39573615,27.0758,94.8600006103516,"Asuncion",11.309476852417,5.686,16296.2836189263
"170","Palestinian Territories","PSE","Asia","Middle East & North Africa",75.1341365,19.040381468,5289.152,30.29228,6.810857411,10.4347353,NA,12.5,NA,97.9449803653341,"",12.1982545852661,24.42,3845.50297375419
"171","French Polynesia","PYF","Oceania","East Asia & Pacific",NA,NA,281.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.613,NA
"172","Qatar","QAT","Asia","Middle East & North Africa",76.7101384,7.90487853,2857.822,62.6647,0.475931733,2.52358818,31.36,11.201149994,88.10437,97.75,"Doha",12.8343200683594,0.13,110889.792701691
"173","Romania","ROU","Europe","Europe & Central Asia",75.12257592,5.38530439,19051.804,13.30043,1.135204835,5.51454878,31.65,71.58398889,50,99.1600036621094,"Bucharest",11.8299312591553,5.4,38539.5770476858
"174","Russia","RUS","Europe","Europe & Central Asia",72.66311936,4.096692938,143533.851,8.71282,11.44464118,7.04438496,51.11,68.089835552,53.2748,99.9300003051758,"Moscow",13.6897916793823,2.43,41704.7109375
"175","Rwanda","RWA","Africa","Sub-Saharan Africa",68.26351399,63.945765983,14256.567,34.91829,4.089416289,5.968925,1.1,7.298351985,8.02385,78.7600021362305,"Kigali",6.85204315185547,11.331,3264.64451474392
"176","Saudi Arabia","SAU","Asia","Middle East & North Africa",76.75114086,7.383018941,35300.28,57.15638,2.35112192,6.24142838,30.76,25.360742657,54,97.9300003051758,"Riyadh",12.3571290969849,3.518,62792.7741476371
"177","Sudan","SDN","Africa","Sub-Saharan Africa",69.46506253,44.039691078,50448.963,21.42613,5.408046244,4.46172857,3.46,6.6,21,53.5200004577637,"Khartoum",7.0815601348877,7.53,1861.39794921875
"178","Senegal","SEN","Africa","Sub-Saharan Africa",67.79198263,122.449576907,18501.984,39.07941,8.505724261,4.16359377,NA,7.118603729,19.2036,50.3600006103516,"Dakar",7.33160591125488,2.788,4460.92372176318
"179","Singapore","SGP","Asia","East Asia & Pacific",83.99653626,7.302679492,6036.86,13.12328,0.181144237,4.33121586,21.4,25.830763243,74.1818,97.6500015258789,"Singapore",13.9209003448486,2.737,132569.525225795
"180","Solomon Islands","SLB","Oceania","East Asia & Pacific",65.55013712,16.518091746,819.198,7.8289,3.832183998,4.89478445,2.87,NA,6.9974,76.5999984741211,"Honiara",8.33605194091797,1.444,2353.24808229243
"181","Sierra Leone","SLE","Africa","Sub-Saharan Africa",56.88673236,64.076955531,8642.022,39.4217,7.46773853,4.71883011,0.75,NA,1.3,43.5800018310547,"Freetown",9.60564613342285,3.103,3098.76290609663
"182","El Salvador","SLV","Americas","Latin America & Caribbean",71.66703998,20.057345904,6338.193,22.15224,90.54720664,9.28738594,29.63,13.782354011,25.5,89.7699966430664,"San Salvador",10.9498882293701,3.261,11669.0817135644
"183","San Marino","SMR","Europe","Europe & Central Asia",NA,1.4136439,33.977,9.84868,NA,7.51272249,44.05,33.7373858,50.8826,99.9100036621094,"San Marino",NA,NA,70951.7895931976
"184","Somalia","SOM","Africa","Sub-Saharan Africa",55.21397342,98.91953147,19009.151,14.39752,5.172728719,2.73509169,0.65,8.7,1.3767,54.1199989318848,NA,NA,18.949,1409.33492233283
"185","St. Pierre & Miquelon","SPM","Americas","North America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Serbia","SRB","Europe","Europe & Central Asia",75.67951218,4.841374537,6586.476,24.95485,1.841983988,8.03133774,30.99,56.725681032,48.1,99.3399963378906,"Belgrade",13.3245878219604,7.24,25596.1260525552
"187","South Sudan","SSD","Africa","Sub-Saharan Africa",59.09264997,72.61607316,11943.408,21.9397,16.17760403,9.35116673,0.41,NA,NA,26.8299999237061,"Juba",4.67714595794678,12.374,NA
"188","São Tomé & Príncipe","STP","Africa","Sub-Saharan Africa",71.65568515,11.299834393,235.536,33.74991,5.820792792,5.65160036,4.92,NA,21.5724,87.4400024414062,"Sao Tome",NA,9.057,5491.29829852275
"189","Suriname","SUR","Americas","Latin America & Caribbean",72.80157877,15.184857789,634.431,13.30251,5.290750861,5.93297768,10.06,28.970058542,34.6812,92.870002746582,"Paramaribo",NA,7.621,19179.1018321639
"190","Slovakia","SVK","Europe","Europe & Central Asia",77.09456027,4.969048977,5422.069,15.89146,1.043720925,7.35262203,37.61,55.668145508,80,NA,NA,12.6194791793823,5.3,40319.0547230873
"191","Slovenia","SVN","Europe","Europe & Central Asia",80.7898907,2.148717284,2127.4,17.77099,0.71010171,8.57742882,28.3,44.373380031,70,99.5199966430664,"Ljubljana",13.6457633972168,3.7,48648.9078834081
"192","Sweden","SWE","Europe","Europe & Central Asia",81.64075183,2.074807595,10569.709,5.92993,1.059203559,11.42458725,44.08,20.021894873,94,NA,NA,13.9364252090454,8.4,62978.9390459835
"193","Eswatini","SWZ","Africa","Sub-Saharan Africa",54.73682091,61.761943783,1242.822,15.07308,18.38814934,7.49763966,0.98,20.185840708,20.78178,90.75,"Mbabane",6.42372179031372,34.643,10380.3966630516
"194","Sint Maarten","SXM","Americas","Latin America & Caribbean",NA,NA,43.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47303.194758482
"195","Seychelles","SYC","Africa","Sub-Saharan Africa",74.01196664,11.962629452,121.354,16.95663,14.5643505,4.48238087,18.69,26.845530657,47.076,93.9499969482422,"Victoria",13.0843467712402,NA,29241.7758048825
"196","Syria","SYR","Asia","Middle East & North Africa",71.99813819,24.490793363,24672.76,25.14079,2.430405427,2.70998812,15.17,14,24.3001,94.4199981689453,"Damascus",NA,13.359,4454.85373271464
"197","Turks & Caicos Islands","TCA","Americas","Latin America & Caribbean",NA,11.158050002,46.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33390.5267148059
"198","Chad","TCD","Africa","Sub-Saharan Africa",56.60362018,67.356169176,20299.123,42.60818,8.459797033,4.15823555,0.82,NA,2.1,30.6299991607666,"N'Djamena",5.31059169769287,1.053,2412.865855392
"199","Togo","TGO","Africa","Sub-Saharan Africa",59.7945853,35.851311721,9515.236,35.65757,8.50523103,6.24094057,0.44,6.367023534,4,72.5999984741211,"Lome",9.72840404510498,1.948,2960.77542569109
"200","Thailand","THA","Asia","East Asia & Pacific",76.50524949,9.64343827,71668.011,23.68253,4.435484523,5.15399981,5.45,22.094658216,26.5,91.0999984741211,"Bangkok",12.7213582992554,0.781,21740.5403219261
"201","Tajikistan","TJK","Asia","Europe & Central Asia",73.80997068,23.236784331,10590.927,53.64558,1.765303607,7.43789911,18.7,40.424231131,14.51,100,"Dushanbe",10.8584127426147,7.041,4755.93296704719
"202","Tokelau","TKL","Oceania","East Asia & Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Turkmenistan","TKM","Asia","Europe & Central Asia",69.14190532,34.074670412,7494.498,26.40925,3.431590772,5.58718491,19.16,38.619550098,7.1958,99.9000015258789,"Ashgabat",NA,4.02,18662.298799056
"204","Timor-Leste","TLS","Asia","East Asia & Pacific",67.99671222,45.10726247,1400.638,19.49366,4.410558893,4.99218798,7.68,3.870590813,0.9147,72.4700012207031,"Dili",10.5883512496948,1.523,3890.95763434187
"205","Tonga","TON","Oceania","East Asia & Pacific",72.72088222,14.126793833,104.175,7.52079,3.326722354,7.36037779,10.14,NA,34.8609,91.0500030517578,"Nuku'alofa",11.5625162124634,1.965,7030.41917439715
"206","Trinidad & Tobago","TTO","Americas","Latin America & Caribbean",74.35412517,18.976214534,1368.333,10.71643,39.84912913,7.47677326,41.57,16.515248878,59.5162,96.9400024414062,"Port-of-Spain",12.4318504333496,3.318,31960.1568888983
"207","Tunisia","TUN","Africa","Middle East & North Africa",77.12175333,16.88760915,12277.109,27.21906,3.627498817,7.98537874,13.15,17.936144619,41.4416,86.25,"Tunis",10.5675792694092,15.341,12774.9158568021
"208","Turkey","TUR","Asia","Europe & Central Asia",76.17525576,93.430343942,85518.661,23.25106,4.838941643,4.32517862,21.18,29.358402898,45.13,97.2600021362305,"Ankara",12.06618309021,8.8,36154.490436557
"209","Tuvalu","TUV","Oceania","East Asia & Pacific",NA,17.129033797,9.646,6.78081,NA,21.28792,17.71,NA,35,100,"Funafuti",10.8185768127441,NA,5812.39924537753
"210","Tanzania","TZA","Africa","Sub-Saharan Africa",65.15719683,37.678233306,68560.157,15.60301,7.750472806,4.32775831,1.34,8.368486364,13.0803,78.2099990844727,"Dodoma",7.21548700332642,1.557,3713.26293945313
"211","Uganda","UGA","Africa","Sub-Saharan Africa",64.2155816,81.425682443,50015.092,31.72916,14.45682102,3.99852037,2.06,NA,14.6896,79.0582329588683,"Kampala",6.82325077056885,2.74,2879.67009290376
"212","Ukraine","UKR","Europe","Europe & Central Asia",73.00449182,14.586561968,37860.221,13.50727,7.076253969,7.56217051,29.36,65.617597723,33.7,99.4300003051758,"Kiev",12.9065580368042,9.834,16319.8447265625
"213","Uruguay","URY","Americas","Latin America & Caribbean",77.33933717,6.788385941,3386.588,8.47571,8.391734496,8.71702194,46.74,24.977235211,55.1146,98.9100036621094,"Montevideo",12.2105159759522,8.209,32038.7727288227
"214","United States","USA","Americas","North America",76.37368104,5.567570179,340110.988,7.17987,5.781464489,17.35207748,25.71,27.119414818,81.0252,NA,NA,12.8917512893677,4.022,75489.2664334817
"215","Uzbekistan","UZB","Asia","Europe & Central Asia",70.40271496,50.339303656,36361.859,44.62058,1.282105564,6.92742586,22.26,48.944933752,36.5213,100,"Tashkent",12.0410289764404,4.439,10450.2051402852
"216","St. Vincent & Grenadines","VCT","Americas","Latin America & Caribbean",72.55709418,11.352072745,100.616,9.41283,28.73622878,4.17431307,15.1,42.587118855,47.52,95.629997253418,"Kingstown",12.3129692077637,18.093,18714.198849353
"217","Venezuela","VEN","Americas","Latin America & Caribbean",71.22082891,15.808063025,28405.543,16.21392,60.91313301,4.11615133,NA,7.459940597,44.0456,97.1867494381301,"Caracas",NA,5.321,NA
"218","British Virgin Islands","VGB","Americas","Latin America & Caribbean",NA,13.816586285,39.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","U.S. Virgin Islands","VIR","Americas","Latin America & Caribbean",NA,NA,104.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.423,46479.2996685326
"220","Vietnam","VNM","Asia","East Asia & Pacific",73.71007094,18.60325819,100987.686,20.46553,1.839032863,4.56109476,8.24,25.090587753,39.49,96.129997253418,"Hanoi",12.8594398498535,1.602,14415.2159532813
"221","Vanuatu","VUT","Oceania","East Asia & Pacific",67.13030878,19.009604525,327.777,8.42148,2.319469715,4.58828115,1.64,NA,10.598,87.9599990844727,"Port-Vila",10.1101665496826,4.988,3172.04772751391
"222","Samoa","WSM","Oceania","East Asia & Pacific",69.99170791,14.338673506,218.019,7.61736,2.498214507,7.19651461,4.64,9.465544349,12.92249,97.9899978637695,"Apia",12.2415075302124,4.855,7686.24942571869
"223","Yemen","YEM","Asia","Middle East & North Africa",68.75410162,84.533290052,40583.164,41.32087,8.717704654,9.08948231,NA,4.750296158,17.4465,37.0900001525879,"Sana'a",8.12793731689453,16.97,NA
"224","South Africa","ZAF","Africa","Sub-Saharan Africa",64.30356494,24.981668245,64007.187,19.74802,35.28086388,8.74512291,7.66,23.376078847,41,91.1500015258789,"Pretoria",10.2173156738281,32.279,13597.6538495998
"225","Zambia","ZMB","Africa","Sub-Saharan Africa",61.28533224,100.248680986,21314.956,16.8967,6.112003545,5.97841072,1.63,20,13.4682,82.0418064991238,"Lusaka",8.78896331787109,5.898,3708.06904295647
"226","Zimbabwe","ZWE","Africa","Sub-Saharan Africa",58.48102238,59.945889078,16634.373,13.07553,12.07522494,2.95440102,1.79,18.64467411,17.0908,93.2300033569336,"Harare",11.054536819458,9.435,5215.25301075742
