essround,idno,agea,eduyrs,eisced,gndr,iscoco,isco08,hinctnt,hinctnta,male,age,age_rec,years_schooling,educ_level,hincome,occup_cat,emplrel,emplno,isco_mainjob,emplrel_r1,emplno_r1,selfem_mainjob,class16_r1,class8_r1,class5_r1,emplrel_r2,emplno_r2,class16_r2,class8_r2,class5_r2,class5_r
10,36494,46,30,7,2,NA,2330,NA,8,female,46,45-64,30,High education,8,professionals,1,66666,2330,1,66666,1,NA,NA,NA,1,66666,14,7,2,Lower-grade service class
10,36506,47,20,7,1,NA,1211,NA,10,male,47,45-64,20,High education,10,managers,1,66666,1211,1,66666,1,NA,NA,NA,1,66666,9,5,1,Higher-grade service class
10,36509,17,11,2,1,NA,66666,NA,7,male,17,<20,11,Low education,7,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,36564,49,11,2,1,NA,1330,NA,8,male,49,45-64,11,Low education,8,managers,3,66666,1330,3,66666,2,NA,NA,NA,3,66666,4,2,3,Small business owners
10,36595,39,24,7,2,NA,4110,NA,4,female,39,30-44,24,High education,4,clerical,1,66666,4110,1,66666,1,NA,NA,NA,1,66666,11,6,4,Skilled workers
10,36616,37,99,99,2,NA,99999,NA,99,female,37,30-44,NA,NA,NA,NA,9,99999,99999,9,99999,1,NA,NA,NA,9,99999,NA,NA,NA,NA
10,36621,34,16,4,1,NA,3322,NA,7,male,34,30-44,16,Secondary education,7,technicians,1,66666,3322,1,66666,1,NA,NA,NA,1,66666,14,7,2,Lower-grade service class
10,36626,46,25,6,2,NA,2352,NA,8,female,46,45-64,25,High education,8,professionals,1,66666,2352,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,36685,54,12,4,2,NA,5321,NA,99,female,54,45-64,12,Secondary education,NA,service,1,66666,5321,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,36717,61,99,99,2,NA,99999,NA,99,female,61,45-64,NA,NA,NA,NA,9,99999,99999,9,99999,1,NA,NA,NA,9,99999,NA,NA,NA,NA
10,36739,19,12,1,2,NA,66666,NA,77,female,19,<20,12,Low education,NA,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,36838,61,15,6,2,NA,2341,NA,6,female,61,45-64,15,High education,6,professionals,1,66666,2341,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,36856,33,10,2,1,NA,4321,NA,7,male,33,30-44,10,Low education,7,clerical,1,66666,4321,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,36876,47,13,2,1,NA,3122,NA,5,male,47,45-64,13,Low education,5,technicians,1,66666,3122,1,66666,1,NA,NA,NA,1,66666,6,3,2,Lower-grade service class
10,36904,28,6,6,2,NA,99999,NA,7,female,28,20-29,6,High education,7,NA,1,66666,99999,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,36937,51,99,2,2,NA,66666,NA,99,female,51,45-64,NA,Low education,NA,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37021,59,17,6,2,NA,2341,NA,2,female,59,45-64,17,High education,2,professionals,1,66666,2341,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,37028,32,23,5,2,NA,3343,NA,77,female,32,30-44,23,High education,NA,technicians,1,66666,3343,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,37036,20,16,4,1,NA,66666,NA,6,male,20,20-29,16,Secondary education,6,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37052,70,99,1,1,NA,99999,NA,3,male,70,>=65,NA,Low education,3,NA,9,99999,99999,9,99999,1,NA,NA,NA,9,99999,NA,NA,NA,NA
10,37071,27,19,6,1,NA,2149,NA,5,male,27,20-29,19,High education,5,professionals,1,66666,2149,1,66666,1,NA,NA,NA,1,66666,5,3,1,Higher-grade service class
10,37082,18,14,4,2,NA,66666,NA,99,female,18,<20,14,Secondary education,NA,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37094,21,18,4,1,NA,66666,NA,6,male,21,20-29,18,Secondary education,6,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37095,27,99,2,1,NA,99999,NA,99,male,27,20-29,NA,Low education,NA,NA,1,66666,99999,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,37105,76,99,7,2,NA,2330,NA,2,female,76,>=65,NA,High education,2,professionals,1,66666,2330,1,66666,1,NA,NA,NA,1,66666,14,7,2,Lower-grade service class
10,37116,22,8,2,1,NA,5131,NA,2,male,22,20-29,8,Low education,2,service,1,66666,5131,1,66666,1,NA,NA,NA,1,66666,15,8,4,Skilled workers
10,37147,33,23,7,2,NA,2411,NA,1,female,33,30-44,23,High education,1,professionals,1,66666,2411,1,66666,1,NA,NA,NA,1,66666,9,5,1,Higher-grade service class
10,37237,26,2,7,1,NA,99999,NA,99,male,26,20-29,2,High education,NA,NA,3,66666,99999,3,66666,2,NA,NA,NA,3,66666,NA,NA,NA,NA
10,37238,36,25,7,2,NA,2211,NA,10,female,36,30-44,25,High education,10,professionals,1,66666,2211,1,66666,1,NA,NA,NA,1,66666,5,3,1,Higher-grade service class
10,37252,16,99,1,1,NA,99999,NA,99,male,16,<20,NA,Low education,NA,NA,9,99999,99999,9,99999,1,NA,NA,NA,9,99999,NA,NA,NA,NA
10,37256,20,8,6,2,NA,66666,NA,5,female,20,20-29,8,High education,5,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37295,33,5,3,1,NA,66666,NA,1,male,33,30-44,5,Secondary education,1,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37331,31,99,6,2,NA,2342,NA,99,female,31,30-44,NA,High education,NA,professionals,1,66666,2342,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,37332,48,14,5,1,NA,3133,NA,8,male,48,45-64,14,High education,8,technicians,1,66666,3133,1,66666,1,NA,NA,NA,1,66666,6,3,2,Lower-grade service class
10,37360,62,18,6,2,NA,99999,NA,5,female,62,45-64,18,High education,5,NA,1,66666,99999,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,37371,41,8,2,1,NA,66666,NA,9,male,41,30-44,8,Low education,9,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37375,42,16,6,2,NA,2341,NA,99,female,42,30-44,16,High education,NA,professionals,1,66666,2341,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,37380,79,2,5,1,NA,7119,NA,4,male,79,>=65,2,High education,4,blue-collar,1,66666,7119,1,66666,1,NA,NA,NA,1,66666,7,4,4,Skilled workers
10,37388,33,7,7,2,NA,4110,NA,6,female,33,30-44,7,High education,6,clerical,1,66666,4110,1,66666,1,NA,NA,NA,1,66666,11,6,4,Skilled workers
10,37394,52,9,2,2,NA,5221,NA,3,female,52,45-64,9,Low education,3,service,2,0,5221,2,0,2,NA,NA,NA,2,0,4,2,3,Small business owners
10,37420,25,10,6,1,NA,4311,NA,3,male,25,20-29,10,High education,3,clerical,1,66666,4311,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
