essround,idno,agea,eduyrs,eisced,gndr,iscoco,isco08,hinctnt,hinctnta,male,age,age_rec,years_schooling,educ_level,hincome,occup_cat,emplrel,emplno,isco_mainjob,emplrel_r1,emplno_r1,selfem_mainjob,class16_r1,class8_r1,class5_r1,emplrel_r2,emplno_r2,class16_r2,class8_r2,class5_r2,class5_r
1,2,17,88,1,2,66666,NA,77,NA,female,17,<20,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,5,38,11,4,1,8324,NA,77,NA,male,38,30-44,11,Secondary education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,8,20,17,2,1,8322,NA,77,NA,male,20,20-29,17,Low education,NA,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,13,22,10,2,1,9330,NA,4,NA,male,22,20-29,10,Low education,4,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,15,80,0,1,1,6112,NA,2,NA,male,80,>=65,0,Low education,2,agricultural,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,22,16,10,2,1,66666,NA,77,NA,male,16,<20,10,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,23,61,8,1,2,66666,NA,1,NA,female,61,45-64,8,Low education,1,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,25,22,16,6,1,66666,NA,88,NA,male,22,20-29,16,High education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,27,40,16,4,2,5132,NA,5,NA,female,40,30-44,16,Secondary education,5,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,31,42,11,3,2,4190,NA,77,NA,female,42,30-44,11,Secondary education,NA,clerical,1,66666,-9,1,66666,1,11,6,4,1,66666,NA,NA,NA,Skilled workers
1,36,45,17,6,2,4190,NA,5,NA,female,45,45-64,17,High education,5,clerical,1,66666,-9,1,66666,1,11,6,4,1,66666,NA,NA,NA,Skilled workers
1,37,32,12,2,1,8231,NA,5,NA,male,32,30-44,12,Low education,5,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,38,68,0,1,2,66666,NA,4,NA,female,68,>=65,0,Low education,4,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,41,82,0,1,1,9211,NA,3,NA,male,82,>=65,0,Low education,3,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,42,57,4,1,2,9132,NA,4,NA,female,57,45-64,4,Low education,4,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,43,78,5,1,1,7412,NA,4,NA,male,78,>=65,5,Low education,4,blue-collar,2,3,-9,2,1,3,3,2,3,2,1,NA,NA,NA,Small business owners
1,46,87,88,1,2,66666,NA,3,NA,female,87,>=65,NA,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,47,71,1,1,2,9131,NA,2,NA,female,71,>=65,1,Low education,2,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,48,83,0,1,1,9211,NA,2,NA,male,83,>=65,0,Low education,2,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,49,38,9,1,1,9313,NA,4,NA,male,38,30-44,9,Low education,4,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,51,71,0,1,2,66666,NA,2,NA,female,71,>=65,0,Low education,2,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,53,17,11,2,1,7231,NA,88,NA,male,17,<20,11,Low education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,54,22,12,2,2,5123,NA,3,NA,female,22,20-29,12,Low education,3,service,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,55,80,0,1,2,66666,NA,2,NA,female,80,>=65,0,Low education,2,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,59,76,0,1,2,66666,NA,3,NA,female,76,>=65,0,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,60,53,4,1,1,6111,NA,2,NA,male,53,45-64,4,Low education,2,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,61,83,0,1,2,66666,NA,2,NA,female,83,>=65,0,Low education,2,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,64,76,0,1,2,66666,NA,2,NA,female,76,>=65,0,Low education,2,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,66,62,3,1,1,6112,NA,3,NA,male,62,45-64,3,Low education,3,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,68,26,16,4,2,66666,NA,88,NA,female,26,20-29,16,Secondary education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,69,28,12,5,1,8263,NA,3,NA,male,28,20-29,12,High education,3,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,71,48,11,4,1,3415,NA,77,NA,male,48,45-64,11,Secondary education,NA,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,72,46,17,7,1,3412,NA,77,NA,male,46,45-64,17,High education,NA,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,73,74,0,1,2,66666,NA,3,NA,female,74,>=65,0,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,74,40,12,4,1,3415,NA,7,NA,male,40,30-44,12,Secondary education,7,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,75,39,12,4,1,7244,NA,7,NA,male,39,30-44,12,Secondary education,7,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,76,37,12,4,2,66666,NA,6,NA,female,37,30-44,12,Secondary education,6,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,77,29,11,1,2,9131,NA,77,NA,female,29,20-29,11,Low education,NA,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,80,64,6,1,2,66666,NA,3,NA,female,64,45-64,6,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,83,26,10,2,1,7137,NA,88,NA,male,26,20-29,10,Low education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,84,77,13,4,1,3431,NA,77,NA,male,77,>=65,13,Secondary education,NA,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,89,22,8,2,2,66666,NA,88,NA,female,22,20-29,8,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,90,23,9,2,1,9313,NA,88,NA,male,23,20-29,9,Low education,NA,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,91,44,12,4,1,1315,NA,77,NA,male,44,30-44,12,Secondary education,NA,managers,2,4,-9,2,1,3,3,2,3,2,1,NA,NA,NA,Small business owners
1,92,35,14,4,2,5220,NA,4,NA,female,35,30-44,14,Secondary education,4,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,93,53,8,1,2,9132,NA,3,NA,female,53,45-64,8,Low education,3,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,94,28,12,3,2,9131,NA,10,NA,female,28,20-29,12,Secondary education,10,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,95,60,5,1,2,66666,NA,77,NA,female,60,45-64,5,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,96,27,19,6,2,5123,NA,7,NA,female,27,20-29,19,High education,7,service,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,97,50,5,1,2,7436,NA,77,NA,female,50,45-64,5,Low education,NA,blue-collar,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,98,80,0,1,1,6111,NA,5,NA,male,80,>=65,0,Low education,5,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,100,66,5,1,2,66666,NA,3,NA,female,66,>=65,5,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,101,76,0,1,1,7122,NA,4,NA,male,76,>=65,0,Low education,4,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,103,46,15,3,1,8340,NA,4,NA,male,46,45-64,15,Secondary education,4,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,104,51,6,1,2,9320,NA,9,NA,female,51,45-64,6,Low education,9,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,105,78,4,1,1,8324,NA,5,NA,male,78,>=65,4,Low education,5,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,107,27,0,1,2,66666,NA,77,NA,female,27,20-29,0,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,109,46,8,1,2,5220,NA,77,NA,female,46,45-64,8,Low education,NA,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,110,70,4,1,1,7221,NA,3,NA,male,70,>=65,4,Low education,3,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,111,62,13,1,1,1314,NA,9,NA,male,62,45-64,13,Low education,9,managers,3,66666,-9,3,66666,2,4,2,3,3,66666,NA,NA,NA,Small business owners
1,115,72,5,1,2,66666,NA,4,NA,female,72,>=65,5,Low education,4,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,116,36,16,6,2,4223,NA,6,NA,female,36,30-44,16,High education,6,clerical,1,66666,-9,1,66666,1,12,6,5,1,66666,NA,NA,NA,Unskilled workers
1,117,51,12,4,1,5220,NA,4,NA,male,51,45-64,12,Secondary education,4,service,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,119,68,3,1,2,9211,NA,3,NA,female,68,>=65,3,Low education,3,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,121,35,18,7,1,3431,NA,6,NA,male,35,30-44,18,High education,6,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,122,36,8,2,1,7411,NA,5,NA,male,36,30-44,8,Low education,5,blue-collar,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,126,31,10,4,2,66666,NA,7,NA,female,31,30-44,10,Secondary education,7,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,127,37,13,3,1,7123,NA,6,NA,male,37,30-44,13,Secondary education,6,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,128,74,5,1,2,66666,NA,7,NA,female,74,>=65,5,Low education,7,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,129,35,12,4,1,8263,NA,77,NA,male,35,30-44,12,Secondary education,NA,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,130,57,3,1,1,7231,NA,4,NA,male,57,45-64,3,Low education,4,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,131,40,8,1,2,7442,NA,10,NA,female,40,30-44,8,Low education,10,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,133,36,8,2,2,7442,NA,77,NA,female,36,30-44,8,Low education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,134,21,15,4,1,66666,NA,88,NA,male,21,20-29,15,Secondary education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,135,61,10,1,2,6112,NA,77,NA,female,61,45-64,10,Low education,NA,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,136,67,5,1,2,1314,NA,77,NA,female,67,>=65,5,Low education,NA,managers,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,138,38,12,4,1,3415,NA,6,NA,male,38,30-44,12,Secondary education,6,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,139,18,12,4,1,66666,NA,88,NA,male,18,<20,12,Secondary education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,142,59,6,1,2,7412,NA,3,NA,female,59,45-64,6,Low education,3,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,147,22,14,5,1,66666,NA,88,NA,male,22,20-29,14,High education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,150,24,15,6,1,66666,NA,88,NA,male,24,20-29,15,High education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,151,36,8,1,2,66666,NA,5,NA,female,36,30-44,8,Low education,5,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,153,42,12,4,2,3415,NA,6,NA,female,42,30-44,12,Secondary education,6,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,154,37,14,4,2,66666,NA,6,NA,female,37,30-44,14,Secondary education,6,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,156,42,12,4,2,7442,NA,3,NA,female,42,30-44,12,Secondary education,3,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,159,74,88,1,2,66666,NA,4,NA,female,74,>=65,NA,Low education,4,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,165,82,0,1,1,5123,NA,77,NA,male,82,>=65,0,Low education,NA,service,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,167,62,10,2,1,1221,NA,7,NA,male,62,45-64,10,Low education,7,managers,2,25,-9,2,2,4,1,1,1,2,2,1,1,1,Higher-grade service class
1,168,37,8,2,1,9311,NA,5,NA,male,37,30-44,8,Low education,5,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,169,89,0,1,1,6111,NA,77,NA,male,89,>=65,0,Low education,NA,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,171,75,10,1,2,66666,NA,4,NA,female,75,>=65,10,Low education,4,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,173,43,14,4,2,66666,NA,5,NA,female,43,30-44,14,Secondary education,5,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,177,28,10,2,1,6112,NA,4,NA,male,28,20-29,10,Low education,4,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,178,33,14,4,2,3431,NA,5,NA,female,33,30-44,14,Secondary education,5,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,179,31,20,7,2,3431,NA,7,NA,female,31,30-44,20,High education,7,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,184,20,14,3,1,7231,NA,88,NA,male,20,20-29,14,Secondary education,NA,blue-collar,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,188,34,16,6,2,3431,NA,77,NA,female,34,30-44,16,High education,NA,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,189,42,17,3,1,100,NA,6,NA,male,42,30-44,17,Secondary education,6,managers,1,66666,-9,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
1,192,64,4,1,2,66666,NA,77,NA,female,64,45-64,4,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,195,53,9,2,2,66666,NA,5,NA,female,53,45-64,9,Low education,5,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,196,49,12,6,1,2332,NA,5,NA,male,49,45-64,12,High education,5,professionals,1,66666,-9,1,66666,1,14,7,2,1,66666,NA,NA,NA,Lower-grade service class
1,197,73,3,1,1,8331,NA,3,NA,male,73,>=65,3,Low education,3,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,200,27,17,6,2,2230,NA,6,NA,female,27,20-29,17,High education,6,professionals,1,66666,-9,1,66666,1,14,7,2,1,66666,NA,NA,NA,Lower-grade service class
1,205,72,4,1,2,9132,NA,3,NA,female,72,>=65,4,Low education,3,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,206,74,4,1,2,66666,NA,3,NA,female,74,>=65,4,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,208,64,10,1,2,1314,NA,88,NA,female,64,45-64,10,Low education,NA,managers,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,209,70,10,4,1,1315,NA,5,NA,male,70,>=65,10,Secondary education,5,managers,2,2,-9,2,1,3,3,2,3,2,1,NA,NA,NA,Small business owners
1,210,73,10,5,1,3415,NA,77,NA,male,73,>=65,10,High education,NA,technicians,1,66666,-9,1,66666,1,10,5,2,1,66666,NA,NA,NA,Lower-grade service class
1,213,57,10,4,1,4190,NA,6,NA,male,57,45-64,10,Secondary education,6,clerical,1,66666,-9,1,66666,1,11,6,4,1,66666,NA,NA,NA,Skilled workers
1,214,35,17,7,2,2470,NA,8,NA,female,35,30-44,17,High education,8,professionals,1,66666,-9,1,66666,1,9,5,1,1,66666,NA,NA,NA,Higher-grade service class
1,218,32,8,2,2,9211,NA,3,NA,female,32,30-44,8,Low education,3,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,222,73,2,1,2,66666,NA,3,NA,female,73,>=65,2,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,223,32,14,5,1,9320,NA,5,NA,male,32,30-44,14,High education,5,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,224,65,6,1,2,5220,NA,3,NA,female,65,>=65,6,Low education,3,service,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,226,76,11,4,2,66666,NA,3,NA,female,76,>=65,11,Secondary education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,231,61,7,1,2,1311,NA,3,NA,female,61,45-64,7,Low education,3,managers,2,5,-9,2,1,3,3,2,3,2,1,NA,NA,NA,Small business owners
1,232,64,8,2,1,7231,NA,88,NA,male,64,45-64,8,Low education,NA,blue-collar,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,234,43,7,1,1,6130,NA,3,NA,male,43,30-44,7,Low education,3,agricultural,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,235,39,12,3,1,6112,NA,4,NA,male,39,30-44,12,Secondary education,4,agricultural,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,237,51,1,1,2,66666,NA,4,NA,female,51,45-64,1,Low education,4,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,238,25,8,2,2,6112,NA,4,NA,female,25,20-29,8,Low education,4,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,240,53,3,1,2,9211,NA,3,NA,female,53,45-64,3,Low education,3,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,242,63,5,1,2,66666,NA,3,NA,female,63,45-64,5,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,243,19,13,4,2,5220,NA,5,NA,female,19,<20,13,Secondary education,5,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,244,21,9,2,2,9211,NA,4,NA,female,21,20-29,9,Low education,4,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,245,38,8,2,1,66666,NA,4,NA,male,38,30-44,8,Low education,4,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,246,26,8,1,2,9211,NA,4,NA,female,26,20-29,8,Low education,4,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,258,82,9,1,2,9131,NA,3,NA,female,82,>=65,9,Low education,3,blue-collar,1,66666,-9,1,66666,1,16,8,5,1,66666,NA,NA,NA,Unskilled workers
1,261,74,16,6,1,2230,NA,5,NA,male,74,>=65,16,High education,5,professionals,1,66666,-9,1,66666,1,14,7,2,1,66666,NA,NA,NA,Lower-grade service class
1,263,27,14,5,2,9211,NA,4,NA,female,27,20-29,14,High education,4,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,265,20,14,5,2,66666,NA,88,NA,female,20,20-29,14,High education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,268,69,8,1,2,66666,NA,88,NA,female,69,>=65,8,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,269,77,8,1,2,66666,NA,3,NA,female,77,>=65,8,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,270,42,12,4,1,3415,NA,4,NA,male,42,30-44,12,Secondary education,4,technicians,2,88888,-9,2,88888,NA,NA,NA,NA,2,88888,NA,NA,NA,NA
1,271,57,8,1,2,66666,NA,6,NA,female,57,45-64,8,Low education,6,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,272,71,9,1,2,66666,NA,3,NA,female,71,>=65,9,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,273,39,14,4,2,8263,NA,4,NA,female,39,30-44,14,Secondary education,4,blue-collar,2,18,-9,2,2,4,1,1,1,2,2,1,1,1,Higher-grade service class
1,275,33,11,2,1,5220,NA,88,NA,male,33,30-44,11,Low education,NA,service,2,0,-9,2,0,2,4,2,3,2,0,NA,NA,NA,Small business owners
1,276,70,9,1,2,66666,NA,3,NA,female,70,>=65,9,Low education,3,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,277,33,13,4,2,5162,NA,77,NA,female,33,30-44,13,Secondary education,NA,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,282,42,88,3,2,6111,NA,77,NA,female,42,30-44,NA,Secondary education,NA,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,283,56,9,1,2,66666,NA,5,NA,female,56,45-64,9,Low education,5,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,286,65,9,1,2,5220,NA,5,NA,female,65,>=65,9,Low education,5,service,2,2,-9,2,1,3,3,2,3,2,1,NA,NA,NA,Small business owners
1,288,17,11,1,1,7437,NA,5,NA,male,17,<20,11,Low education,5,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,289,78,88,1,1,6111,NA,88,NA,male,78,>=65,NA,Low education,NA,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,290,24,14,3,1,8324,NA,77,NA,male,24,20-29,14,Secondary education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,291,70,88,1,1,4131,NA,77,NA,male,70,>=65,NA,Low education,NA,clerical,1,66666,-9,1,66666,1,11,6,4,1,66666,NA,NA,NA,Skilled workers
1,292,77,77,1,1,7122,NA,77,NA,male,77,>=65,NA,Low education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,294,75,88,1,2,66666,NA,77,NA,female,75,>=65,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,297,41,88,1,1,8273,NA,77,NA,male,41,30-44,NA,Low education,NA,blue-collar,1,66666,-9,1,66666,1,8,4,5,1,66666,NA,NA,NA,Unskilled workers
1,300,53,88,6,1,2331,NA,77,NA,male,53,45-64,NA,High education,NA,professionals,1,66666,-9,1,66666,1,14,7,2,1,66666,NA,NA,NA,Lower-grade service class
1,301,999,7,1,2,6112,NA,77,NA,female,NA,NA,7,Low education,NA,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,304,16,88,2,1,66666,NA,88,NA,male,16,<20,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,308,36,10,2,2,5220,NA,4,NA,female,36,30-44,10,Low education,4,service,1,66666,-9,1,66666,1,15,8,4,1,66666,NA,NA,NA,Skilled workers
1,309,84,0,1,2,66666,NA,88,NA,female,84,>=65,0,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,310,17,11,4,2,66666,NA,88,NA,female,17,<20,11,Secondary education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,312,71,88,1,2,66666,NA,77,NA,female,71,>=65,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,313,60,88,1,2,66666,NA,77,NA,female,60,45-64,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
1,315,33,8,2,1,7122,NA,77,NA,male,33,30-44,8,Low education,NA,blue-collar,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,316,67,88,1,1,6111,NA,77,NA,male,67,>=65,NA,Low education,NA,agricultural,1,66666,-9,1,66666,1,7,4,4,1,66666,NA,NA,NA,Skilled workers
1,320,999,88,1,2,66666,NA,77,NA,female,NA,NA,NA,Low education,NA,NA,6,66666,-9,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
